Drug_Name,Drug_ID,Interactor_Name,Interactor_ID,Interaction_Description,targets_A,targets_B
Asparaginase Escherichia coli,DB00023,Nitrofurantoin,DB00698,The therapeutic efficacy of Nitrofurantoin can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA2B'],['KCNJ2']
Asparaginase Escherichia coli,DB00023,Ethotoin,DB00754,The therapeutic efficacy of Ethotoin can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA2C'],['ATP1A1']
Asparaginase Escherichia coli,DB00023,Meclofenamic acid,DB00939,The therapeutic efficacy of Meclofenamic acid can be increased when used in combination with Asparaginase Escherichia coli.,['ADRB1'],['ADRA1A']
Asparaginase Escherichia coli,DB00023,Heparin,DB01109,The therapeutic efficacy of Heparin can be increased when used in combination with Asparaginase Escherichia coli.,['ADRB2'],['ADRA1B']
Asparaginase Escherichia coli,DB00023,Dantrolene,DB01219,The therapeutic efficacy of Dantrolene can be increased when used in combination with Asparaginase Escherichia coli.,['ADRB3'],['ADRA1D']
Asparaginase Escherichia coli,DB00023,Fosphenytoin,DB01320,The therapeutic efficacy of Fosphenytoin can be increased when used in combination with Asparaginase Escherichia coli.,['PAH'],['TGFB1']
Asparaginase Escherichia coli,DB00023,Liotrix,DB01583,The therapeutic efficacy of Liotrix can be increased when used in combination with Asparaginase Escherichia coli.,['SLC18A2'],['KCNH2']
Asparaginase Escherichia coli,DB00023,Etofenamate,DB08984,The therapeutic efficacy of Etofenamate can be increased when used in combination with Asparaginase Escherichia coli.,['SLC18A1'],['KCNH6']
Asparaginase Escherichia coli,DB00023,Liothyronine I-131,DB12425,The therapeutic efficacy of Liothyronine I-131 can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1A'],['KCNH7']
Asparaginase Escherichia coli,DB00023,Neocitrullamon,DB13396,The therapeutic efficacy of Neocitrullamon can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1B'],['SLC6A2']
Asparaginase Escherichia coli,DB00023,Allantoin,DB11100,The therapeutic efficacy of Allantoin can be increased when used in combination with Asparaginase Escherichia coli.,['ADRA1D'],['ADRB1']
Thyrotropin alfa,DB00024,Balsalazide,DB01014,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Balsalazide.,['ADRA1B'],['SLC12A1']
Thyrotropin alfa,DB00024,Olsalazine,DB01250,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Olsalazine.,['ADRA1D'],['CA2']
Thyrotropin alfa,DB00024,Bismuth subsalicylate,DB01294,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Bismuth subsalicylate.,['ADRA2A'],['GPR35']
Thyrotropin alfa,DB00024,Dersalazine,DB06251,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Dersalazine.,['ADRA2B'],['SLC12A3']
Thyrotropin alfa,DB00024,Phenyl aminosalicylate,DB06807,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Phenyl aminosalicylate.,['ADRA2C'],['CA1']
Thyrotropin alfa,DB00024,Methyl salicylate,DB09543,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Methyl salicylate.,['ADRB1'],['CA1']
Thyrotropin alfa,DB00024,Nitroaspirin,DB12445,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Nitroaspirin.,['ADRB2'],['CA2']
Thyrotropin alfa,DB00024,Aloxiprin,DB13509,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Aloxiprin.,['ADRB3'],['CA4']
Thyrotropin alfa,DB00024,Guacetisal,DB13538,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Guacetisal.,['PAH'],['CA9']
Thyrotropin alfa,DB00024,Carbaspirin calcium,DB13612,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Carbaspirin calcium.,['SLC18A2'],['CA12']
Thyrotropin alfa,DB00024,Thiosalicylic acid,DB14026,The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Thiosalicylic acid.,['ADRA1A'],['CACNA1C']
Anistreplase,DB00029,Quinidine,DB00908,The therapeutic efficacy of Anistreplase can be increased when used in combination with Quinidine.,['CHRM4'],['JAK2']
Anistreplase,DB00029,Pentoxifylline,DB00806,The therapeutic efficacy of Anistreplase can be increased when used in combination with Pentoxifylline.,['DRD3'],['SLC12A1']
Anistreplase,DB00029,Levocarnitine,DB00583,The therapeutic efficacy of Anistreplase can be increased when used in combination with Levocarnitine.,['DRD5'],['CA2']
Anistreplase,DB00029,Omega-3-carboxylic acids,DB09568,The therapeutic efficacy of Anistreplase can be increased when used in combination with Omega-3-carboxylic acids.,['RXRB'],['MCHR1']
Insulin human,DB00030,Moxifloxacin,DB00218,The therapeutic efficacy of Insulin human can be increased when used in combination with Moxifloxacin.,['RXRG'],['CA1']
Insulin human,DB00030,Grepafloxacin,DB00365,The therapeutic efficacy of Insulin human can be increased when used in combination with Grepafloxacin.,['PPARG'],['CA1']
Insulin human,DB00030,Enoxacin,DB00467,The therapeutic efficacy of Insulin human can be increased when used in combination with Enoxacin.,['ACSL4'],['CA2']
Insulin human,DB00030,Pefloxacin,DB00487,The therapeutic efficacy of Insulin human can be increased when used in combination with Pefloxacin.,['PPARA'],['CA4']
Insulin human,DB00030,Ciprofloxacin,DB00537,The therapeutic efficacy of Insulin human can be increased when used in combination with Ciprofloxacin.,['PPARD'],['CA9']
Insulin human,DB00030,Trovafloxacin,DB00685,The therapeutic efficacy of Insulin human can be increased when used in combination with Trovafloxacin.,['RXRA'],['CA12']
Insulin human,DB00030,Cinoxacin,DB00827,The therapeutic efficacy of Insulin human can be increased when used in combination with Cinoxacin.,['PPARG'],['SLC12A3']
Insulin human,DB00030,Lomefloxacin,DB00978,The therapeutic efficacy of Insulin human can be increased when used in combination with Lomefloxacin.,['ACSL4'],['CACNA1C']
Insulin human,DB00030,Gatifloxacin,DB01044,The therapeutic efficacy of Insulin human can be increased when used in combination with Gatifloxacin.,['PPARA'],['CACNA2D1']
Insulin human,DB00030,Norfloxacin,DB01059,The therapeutic efficacy of Insulin human can be increased when used in combination with Norfloxacin.,['PPARD'],['ADRA2A']
Insulin human,DB00030,Levofloxacin,DB01137,The therapeutic efficacy of Insulin human can be increased when used in combination with Levofloxacin.,['RXRA'],['ADRA1A']
Insulin human,DB00030,Gemifloxacin,DB01155,The therapeutic efficacy of Insulin human can be increased when used in combination with Gemifloxacin.,['RXRB'],['HTR1A']
Insulin human,DB00030,Ofloxacin,DB01165,The therapeutic efficacy of Insulin human can be increased when used in combination with Ofloxacin.,['RXRG'],['HTR7']
Insulin human,DB00030,Sparfloxacin,DB01208,The therapeutic efficacy of Insulin human can be increased when used in combination with Sparfloxacin.,['PPARG'],['HTR2C']
Insulin human,DB00030,Temafloxacin,DB01405,The therapeutic efficacy of Insulin human can be increased when used in combination with Temafloxacin.,['ACSL4'],['HTR1D']
Insulin human,DB00030,Nemonoxacin,DB06600,The therapeutic efficacy of Insulin human can be increased when used in combination with Nemonoxacin.,['RXRB'],['ERG11']
Insulin human,DB00030,Flumequine,DB08972,The therapeutic efficacy of Insulin human can be increased when used in combination with Flumequine.,['RXRG'],['CYP2B6']
Insulin human,DB00030,Enrofloxacin,DB11404,The therapeutic efficacy of Insulin human can be increased when used in combination with Enrofloxacin.,['PPARG'],['ADRB1']
Insulin human,DB00030,Orbifloxacin,DB11443,The therapeutic efficacy of Insulin human can be increased when used in combination with Orbifloxacin.,['ACSL4'],['ADRB2']
Insulin human,DB00030,Sarafloxacin,DB11491,The therapeutic efficacy of Insulin human can be increased when used in combination with Sarafloxacin.,['PPARA'],['SLC12A1']
Insulin human,DB00030,Difloxacin,DB11511,The therapeutic efficacy of Insulin human can be increased when used in combination with Difloxacin.,['PPARD'],['CA1']
Insulin human,DB00030,Pazufloxacin,DB11774,The therapeutic efficacy of Insulin human can be increased when used in combination with Pazufloxacin.,['RXRA'],['CA2']
Insulin human,DB00030,Prulifloxacin,DB11892,The therapeutic efficacy of Insulin human can be increased when used in combination with Prulifloxacin.,['RXRB'],['CA4']
Insulin human,DB00030,Delafloxacin,DB11943,The therapeutic efficacy of Insulin human can be increased when used in combination with Delafloxacin.,['RXRG'],['SLC12A3']
Insulin human,DB00030,Sitafloxacin,DB13261,The therapeutic efficacy of Insulin human can be increased when used in combination with Sitafloxacin.,['PPARG'],['KCNMA1']
Insulin human,DB00030,Oxolinic acid,DB13627,The therapeutic efficacy of Insulin human can be increased when used in combination with Oxolinic acid.,['ACSL4'],['CA1']
Insulin human,DB00030,Rufloxacin,DB13772,The therapeutic efficacy of Insulin human can be increased when used in combination with Rufloxacin.,['PPARA'],['CA2']
Insulin human,DB00030,Pipemidic acid,DB13823,The therapeutic efficacy of Insulin human can be increased when used in combination with Pipemidic acid.,['PPARD'],['CA4']
Insulin human,DB00030,Phentermine,DB00191,The therapeutic efficacy of Insulin human can be increased when used in combination with Phentermine.,['KCNJ1'],['DRD2']
Insulin human,DB00030,Metoprolol,DB00264,The therapeutic efficacy of Insulin human can be increased when used in combination with Metoprolol.,['KCNJ1'],['HTR1D']
Insulin human,DB00030,Atenolol,DB00335,The therapeutic efficacy of Insulin human can be increased when used in combination with Atenolol.,['KCNJ1'],['HTR2C']
Insulin human,DB00030,Timolol,DB00373,The therapeutic efficacy of Insulin human can be increased when used in combination with Timolol.,['KCNJ1'],['DRD2']
Insulin human,DB00030,Labetalol,DB00598,The therapeutic efficacy of Insulin human can be increased when used in combination with Labetalol.,['KCNJ1'],['HTR2A']
Insulin human,DB00030,Bisoprolol,DB00612,The therapeutic efficacy of Insulin human can be increased when used in combination with Bisoprolol.,['KCNJ1'],['DRD3']
Insulin human,DB00030,Alprenolol,DB00866,The therapeutic efficacy of Insulin human can be increased when used in combination with Alprenolol.,['KCNJ1'],['MCHR1']
Insulin human,DB00030,Pindolol,DB00960,The therapeutic efficacy of Insulin human can be increased when used in combination with Pindolol.,['KCNJ1'],['SLC18A2']
Insulin human,DB00030,Acebutolol,DB01193,The therapeutic efficacy of Insulin human can be increased when used in combination with Acebutolol.,['KCNJ1'],['SIGMAR1']
Insulin human,DB00030,Nadolol,DB01203,The therapeutic efficacy of Insulin human can be increased when used in combination with Nadolol.,['KCNJ1'],['HRH1']
Insulin human,DB00030,Bevantolol,DB01295,The therapeutic efficacy of Insulin human can be increased when used in combination with Bevantolol.,['KCNJ1'],['CHRM3']
Insulin human,DB00030,Practolol,DB01297,The therapeutic efficacy of Insulin human can be increased when used in combination with Practolol.,['KCNJ1'],['ADRA1A']
Insulin human,DB00030,Penbutolol,DB01359,The therapeutic efficacy of Insulin human can be increased when used in combination with Penbutolol.,['KCNJ1'],['ADRA2A']
Insulin human,DB00030,Oxprenolol,DB01580,The therapeutic efficacy of Insulin human can be increased when used in combination with Oxprenolol.,['KCNJ1'],['ADRA2B']
Insulin human,DB00030,Dexpropranolol,DB03322,The therapeutic efficacy of Insulin human can be increased when used in combination with Dexpropranolol.,['KCNJ1'],['ADRA2C']
Insulin human,DB00030,Celiprolol,DB04846,The therapeutic efficacy of Insulin human can be increased when used in combination with Celiprolol.,['KCNJ1'],['HTR1A']
Insulin human,DB00030,Nebivolol,DB04861,The therapeutic efficacy of Insulin human can be increased when used in combination with Nebivolol.,['KCNJ1'],['HTR6']
Insulin human,DB00030,Bufuralol,DB06726,The therapeutic efficacy of Insulin human can be increased when used in combination with Bufuralol.,['KCNJ1'],['HTR7']
Insulin human,DB00030,Bopindolol,DB08807,The therapeutic efficacy of Insulin human can be increased when used in combination with Bopindolol.,['KCNJ1'],['GRIN2B']
Insulin human,DB00030,Bupranolol,DB08808,The therapeutic efficacy of Insulin human can be increased when used in combination with Bupranolol.,['KCNJ1'],['DRD1']
Insulin human,DB00030,Indenolol,DB08952,The therapeutic efficacy of Insulin human can be increased when used in combination with Indenolol.,['KCNJ1'],['CACNA1C']
Insulin human,DB00030,Arotinolol,DB09204,The therapeutic efficacy of Insulin human can be increased when used in combination with Arotinolol.,['KCNJ1'],['ADRA2A']
Insulin human,DB00030,Levobetaxolol,DB09351,The therapeutic efficacy of Insulin human can be increased when used in combination with Levobetaxolol.,['KCNJ1'],['ADRA1A']
Insulin human,DB00030,Talinolol,DB11770,The therapeutic efficacy of Insulin human can be increased when used in combination with Talinolol.,['KCNJ1'],['HTR1A']
Insulin human,DB00030,Anisodamine,DB11785,The therapeutic efficacy of Insulin human can be increased when used in combination with Anisodamine.,['KCNJ1'],['HTR7']
Insulin human,DB00030,Bucindolol,DB12752,The therapeutic efficacy of Insulin human can be increased when used in combination with Bucindolol.,['KCNJ1'],['HTR2C']
Insulin human,DB00030,Esatenolol,DB13443,The therapeutic efficacy of Insulin human can be increased when used in combination with Esatenolol.,['KCNJ1'],['HTR1D']
Insulin human,DB00030,Cloranolol,DB13508,The therapeutic efficacy of Insulin human can be increased when used in combination with Cloranolol.,['KCNJ1'],['ADRB1']
Insulin human,DB00030,Mepindolol,DB13530,The therapeutic efficacy of Insulin human can be increased when used in combination with Mepindolol.,['KCNJ1'],['ADRB2']
Insulin human,DB00030,Epanolol,DB13757,The therapeutic efficacy of Insulin human can be increased when used in combination with Epanolol.,['KCNJ1'],['MGAM']
Insulin human,DB00030,Tertatolol,DB13775,The therapeutic efficacy of Insulin human can be increased when used in combination with Tertatolol.,['KCNJ1'],['SI']
Insulin human,DB00030,Betaxolol,DB00195,The therapeutic efficacy of Insulin human can be increased when used in combination with Betaxolol.,['KCNJ1'],['AMY2A']
Insulin human,DB00030,Propranolol,DB00571,The therapeutic efficacy of Insulin human can be increased when used in combination with Propranolol.,['KCNJ1'],['GAA']
Insulin human,DB00030,Carvedilol,DB01136,The therapeutic efficacy of Insulin human can be increased when used in combination with Carvedilol.,['KCNJ1'],['ETFDH']
Insulin human,DB00030,Propafenone,DB01182,The therapeutic efficacy of Insulin human can be increased when used in combination with Propafenone.,['KCNJ1'],['PRKAB1']
Insulin human,DB00030,Hydroxychloroquine,DB01611,The therapeutic efficacy of Insulin human can be increased when used in combination with Hydroxychloroquine.,['KCNJ1'],['GPD1']
Insulin human,DB00030,Metoclopramide,DB01233,The therapeutic efficacy of Insulin human can be increased when used in combination with Metoclopramide.,['KCNJ1'],['GAA']
Insulin human,DB00030,Lithium hydroxide,DB14506,The therapeutic efficacy of Insulin human can be increased when used in combination with Lithium hydroxide.,['GABRA1'],['CHRM4']
Insulin human,DB00030,Lithium citrate,DB14507,The therapeutic efficacy of Insulin human can be increased when used in combination with Lithium citrate.,['CHRNA4'],['CHRM5']
Insulin human,DB00030,Lithium carbonate,DB14509,The therapeutic efficacy of Insulin human can be increased when used in combination with Lithium carbonate.,['CHRNA7'],['CALM1']
Insulin human,DB00030,Lithium chloride,DB16607,The therapeutic efficacy of Insulin human can be increased when used in combination with Lithium chloride.,['CHRNA7'],['CALM1']
Insulin human,DB00030,Clonidine,DB00575,The therapeutic efficacy of Insulin human can be increased when used in combination with Clonidine.,['GRIA2'],['CALM1']
Tenecteplase,DB00031,Quinine,DB00468,The therapeutic efficacy of Tenecteplase can be increased when used in combination with Quinine.,['NR3C1'],['CA2']
Tenecteplase,DB00031,Quinidine,DB00908,The therapeutic efficacy of Tenecteplase can be increased when used in combination with Quinidine.,['AR'],['GPR35']
Tenecteplase,DB00031,Pentoxifylline,DB00806,The therapeutic efficacy of Tenecteplase can be increased when used in combination with Pentoxifylline.,['NR1I2'],['ADRA1B']
Tenecteplase,DB00031,Levocarnitine,DB00583,The therapeutic efficacy of Tenecteplase can be increased when used in combination with Levocarnitine.,['NR3C2'],['ADRA1A']
Tenecteplase,DB00031,Omega-3-carboxylic acids,DB09568,The therapeutic efficacy of Tenecteplase can be increased when used in combination with Omega-3-carboxylic acids.,['CA4'],['PDE1B']
Glucagon,DB00040,Phenindione,DB00498,The therapeutic efficacy of Phenindione can be increased when used in combination with Glucagon.,['TOP2A'],['ITGAV']
Glucagon,DB00040,Warfarin,DB00682,The therapeutic efficacy of Warfarin can be increased when used in combination with Glucagon.,['TOP2A'],['ITGB3']
Glucagon,DB00040,Phenprocoumon,DB00946,The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Glucagon.,['TOP2A'],['THRA']
Glucagon,DB00040,Acenocoumarol,DB01418,The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Glucagon.,['TOP2A'],['THRB']
Glucagon,DB00040,Coumarin,DB04665,The therapeutic efficacy of Coumarin can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA1A']
Glucagon,DB00040,(R)-warfarin,DB08496,The therapeutic efficacy of (R)-warfarin can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA1B']
Glucagon,DB00040,Ethyl biscoumacetate,DB08794,The therapeutic efficacy of Ethyl biscoumacetate can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA1D']
Glucagon,DB00040,Fluindione,DB13136,The therapeutic efficacy of Fluindione can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA2A']
Glucagon,DB00040,Clorindione,DB13275,The therapeutic efficacy of Clorindione can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA2B']
Glucagon,DB00040,Diphenadione,DB13347,The therapeutic efficacy of Diphenadione can be increased when used in combination with Glucagon.,['TOP2A'],['ADRA2C']
Glucagon,DB00040,Tioclomarol,DB13451,The therapeutic efficacy of Tioclomarol can be increased when used in combination with Glucagon.,['TOP2A'],['ADRB1']
Glucagon,DB00040,(S)-Warfarin,DB14055,The therapeutic efficacy of (S)-Warfarin can be increased when used in combination with Glucagon.,['TOP2A'],['ADRB2']
Botulinum toxin type B,DB00042,Magnesium sulfate,DB00653,The therapeutic efficacy of Botulinum toxin type B can be increased when used in combination with Magnesium sulfate.,['ADRA1A'],['GABRA2']
Botulinum toxin type B,DB00042,Succinylcholine,DB00202,The therapeutic efficacy of Succinylcholine can be increased when used in combination with Botulinum toxin type B.,['ADRA1A'],['HTR1B']
Botulinum toxin type B,DB00042,Decamethonium,DB01245,The therapeutic efficacy of Decamethonium can be increased when used in combination with Botulinum toxin type B.,['ADRA2A'],['MAOB']
Botulinum toxin type B,DB00042,Pyrantel,DB11156,The therapeutic efficacy of Pyrantel can be increased when used in combination with Botulinum toxin type B.,['ADRA2B'],['BCL2']
Botulinum toxin type B,DB00042,Neosaxitoxin,DB12989,The therapeutic efficacy of Neosaxitoxin can be increased when used in combination with Botulinum toxin type B.,['ADRA2C'],['ADRA2A']
Botulinum toxin type B,DB00042,Letibotulinumtoxina,DB16820,The therapeutic efficacy of Letibotulinumtoxina can be increased when used in combination with Botulinum toxin type B.,['SIGMAR1'],['IMPA2']
Insulin lispro,DB00046,Moxifloxacin,DB00218,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Moxifloxacin.,['KCNH2'],['IGFBP3']
Insulin lispro,DB00046,Grepafloxacin,DB00365,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Grepafloxacin.,['TOP2A'],['INSR']
Insulin lispro,DB00046,Enoxacin,DB00467,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Enoxacin.,['KCNH2'],['IGF2R']
Insulin lispro,DB00046,Pefloxacin,DB00487,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Pefloxacin.,['TOP2A'],['CALCR']
Insulin lispro,DB00046,Ciprofloxacin,DB00537,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Ciprofloxacin.,['KCNH2'],['RAMP1']
Insulin lispro,DB00046,Trovafloxacin,DB00685,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Trovafloxacin.,['TOP2A'],['RAMP2']
Insulin lispro,DB00046,Nalidixic acid,DB00779,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Nalidixic acid.,['KCNH2'],['RAMP3']
Insulin lispro,DB00046,Rosoxacin,DB00817,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Rosoxacin.,['TOP2A'],['KCNJ8']
Insulin lispro,DB00046,Cinoxacin,DB00827,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Cinoxacin.,['KCNH2'],['INS']
Insulin lispro,DB00046,Lomefloxacin,DB00978,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Lomefloxacin.,['TOP2A'],['KCNJ1']
Insulin lispro,DB00046,Gatifloxacin,DB01044,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Gatifloxacin.,['KCNH2'],['ABCC8']
Insulin lispro,DB00046,Gemifloxacin,DB01155,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Gemifloxacin.,['TOP2A'],['DPP4']
Insulin lispro,DB00046,Ofloxacin,DB01165,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Ofloxacin.,['KCNH2'],['MGAM']
Insulin lispro,DB00046,Sparfloxacin,DB01208,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Sparfloxacin.,['TOP2A'],['DPP4']
Insulin lispro,DB00046,Temafloxacin,DB01405,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Temafloxacin.,['KCNH2'],['DPP4']
Insulin lispro,DB00046,Fleroxacin,DB04576,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Fleroxacin.,['TOP2A'],['DPP4']
Insulin lispro,DB00046,Technetium Tc-99m ciprofloxacin,DB05488,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Technetium Tc-99m ciprofloxacin.,['KCNH2'],['SLC5A2']
Insulin lispro,DB00046,Garenoxacin,DB06160,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Garenoxacin.,['TOP2A'],['DPP4']
Insulin lispro,DB00046,Nemonoxacin,DB06600,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Nemonoxacin.,['KCNH2'],['GLP1R']
Insulin lispro,DB00046,Enrofloxacin,DB11404,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Enrofloxacin.,['KCNH2'],['DPP4']
Insulin lispro,DB00046,Orbifloxacin,DB11443,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Orbifloxacin.,['TOP2A'],['SLC5A2']
Insulin lispro,DB00046,Pazufloxacin,DB11774,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Pazufloxacin.,['KCNH2'],['SLC5A2']
Insulin lispro,DB00046,Prulifloxacin,DB11892,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Prulifloxacin.,['TOP2A'],['GLP1R']
Insulin lispro,DB00046,Delafloxacin,DB11943,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Delafloxacin.,['KCNH2'],['GLP1R']
Insulin lispro,DB00046,Sitafloxacin,DB13261,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Sitafloxacin.,['TOP2A'],['PPARG']
Insulin lispro,DB00046,Phentermine,DB00191,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Phentermine.,['EDNRB'],['GLP1R']
Insulin lispro,DB00046,Metoprolol,DB00264,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Metoprolol.,['EDNRB'],['ABCC8']
Insulin lispro,DB00046,Labetalol,DB00598,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Labetalol.,['EDNRA'],['DPP4']
Insulin lispro,DB00046,Bisoprolol,DB00612,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bisoprolol.,['EDNRB'],['MGAM']
